airport_id,airport_name,city_id
AAA,Anaa,AAA
AAB,Arrabury,AAB
AAC,El Arish International Airport,AAC
AAE,Les Salines Airport,AAE
AAF,Apalachicola Regional,AAF
AAG,Arapoti,AAG
AAH,Aachen/Merzbruck,AAH
AAI,Arraias,AAI
AAJ,Cayana Airstrip,AAJ
AAK,Aranuka,AAK
AAL,Aalborg Airport,AAL
AAM,Mala Mala,AAM
AAN,Al Ain Airport,AAN
AAO,Anaco,AAO
AAP,Andrau Airpark,HOU
AAQ,Anapa Airport,AAQ
AAR,Aarhus Airport,AAR
AAS,Apalapsili,AAS
AAT,Altay Airport,AAT
AAU,Asau,AAU
AAV,Allah Valley,AAV
AAW,Abbottabad,AAW
AAX,Araxa Airport,AAX
AAY,Al Ghaydah,AAY
AAZ,Quetzaltenango,AAZ
ABA,Abakan Airport,ABA
ABB,Asaba International Airport,ABB
ABC,Los Llanos,ABC
ABD,Abadan Airport,ABD
ABE,Lehigh Valley International Airport,ABE
ABF,Abaiang,ABF
ABG,Abingdon,ABG
ABH,Alpha,ABH
ABI,Abilene Regional Airport,ABI
ABJ,Felix Houphouet Boigny Airport,ABJ
ABK,Kabri Dar,ABK
ABL,Ambler Airport,ABL
ABM,Northern Peninsula Airport,ABM
ABN,Albina,ABN
ABO,Aboisso,ABO
ABP,Atkamba,ABP
ABQ,Albuquerque International Sunport,ABQ
ABR,Aberdeen Municipal Airport,ABR
ABS,Abu Simbel,ABS
ABT,Al-Aqiq Airport,ABT
ABU,Haliwen Airport,ABU
ABV,Nnamdi Azikiwe International Airport,ABV
ABW,Abau,ABW
ABX,Albury Airport,ABX
ABY,Southwest Georgia Regional Airport,ABY
ABZ,Aberdeen International Airport,ABZ
ACA,Acapulco International Airport,ACA
ACB,Antrim County,ACB
ACC,Kotoka International Airport,ACC
ACD,Acandi,ACD
ACE,Lanzarote Airport,ACE
ACH,Altenrhein Airport,ACH
ACI,Alderney Airport,ACI
ACJ,Anuradhapura,ACJ
ACK,Nantucket Memorial Airport,ACK
ACL,Aguaclara,ACL
ACM,Arica,ACM
ACN,International,ACN
ACP,Sahand,ACP
ACR,Araracuara,ACR
ACS,Achinsk,ACS
ACT,Waco Municipal Airport,ACT
ACU,Achutupo,ACU
ACV,Arcata-Eureka Airport,ACV
ACX,Xingyi Airport,ACX
ACY,Atlantic City International Airport,AIY
ACZ,Zabol Airport,ACZ
ADA,Adana Airport,ADA
ADB,Izmir Adnan Menderes Airport,IZM
ADC,Andakombe,ADC
ADD,Addis Ababa Bole International Airport,ADD
ADE,International,ADE
ADF,Adiyaman Airport,ADF
ADG,Lenawee County,ADG
ADH,Aldan,ADH
ADI,Arandis,ADI
ADJ,Marka International Airport,AMM
ADK,Adak Island Ns,ADK
ADL,Adelaide Airport,ADL
ADM,Ardmore Municipal Airport,ADM
ADN,Andes,ADN
ADO,Andamooka,ADO
ADP,Ampara,ADP
ADQ,Kodiak Benny Benson State Airport,ADQ
ADR,Andrews,ADR
ADS,Addison Airport,DFW
ADT,Ada Municipal,ADT
ADU,Ardabil Airport,ADU
ADW,Andrews AFB,ADW
ADX,Leuchars,ADX
ADY,Alldays,ADY
ADZ,Gustavo Rojas Pinilla Airport,ADZ
AEA,Abemama Atoll,AEA
AED,Aleneva,AED
AEG,Aek Godang,AEG
AEH,Abéché,AEH
AEI,Algeciras,AEI
AEK,Aseki,AEK
AEL,Albert Lea,AEL
AEO,Aioun El Atrouss,AEO
AEP,Jorge Newbery Airport,BUE
AER,Sochi International Airport,AER
AES,Vigra Alesund Airport,AES
AET,Allakaket,AET
AEU,Abu Musa,AEU
AEX,Alexandria International Airport,AEX
AEY,Akureyri Airport,AEY
AFA,San Rafael Airport,AFA
AFD,Port Alfred,AFD
AFF,USAF Academy Airstrip,COS
AFI,Amalfi,AFI
AFK,Kondavattavan Tank,ADP
AFL,Alta Floresta Airport,AFL
AFN,Municipal,AFN
AFO,Municipal,AFO
AFR,Afore,AFR
AFS,Zarafshan,AFS
AFT,Afutara Aerodrome,AFT
AFW,Fort Worth Alliance Airport,DFW
AFY,Afyon,AFY
AFZ,Sabzevar,AFZ
AGA,Agadir Al Massira Airport,AGA
AGB,Augsburg Airport,MUC
AGC,Allegheny County Airport,PIT
AGD,Anggi,AGD
AGE,Flugplatz,AGE
AGF,La Garenne Airport,AGF
AGG,Angoram,AGG
AGH,Angelholm Helsingborg Airport,AGH
AGI,Wageningen,AGI
AGJ,Aguni,AGJ
AGK,Kagua,AGK
AGL,Wanigela,AGL
AGM,Tasiilaq,AGM
AGN,Angoon,AGN
AGO,Municipal,AGO
AGP,Malaga Airport,AGP
AGQ,Agrinion,AGQ
AGR,Kheria,AGR
AGS,Augusta Regional Airport,AGS
AGT,Alejo Garcia Airport,AGT
AGU,Aguascalients International Airport,AGU
AGV,Acarigua,AGV
AGW,Agnew,AGW
AGX,Agatti Island Airport,AGX
AGZ,Aggeneys,AGZ
AHA,Naha AFB,OKA
AHB,Abha Regional Airport,AHB
AHC,Amedee AAF,AHC
AHD,Downtown,ADM
AHE,Ahe Airport,AHE
AHF,Municipal,AHF
AHH,Municipal,AHH
AHI,Amahai,AHI
AHL,Aishalton,AHL
AHN,Athens-Ben Epps,AHN
AHO,Alghero-Fertilia Airport,AHO
AHS,Ahuas,AHS
AHT,Amchitka,AHT
AHU,Charif Al Idrissi Airport,AHU
AHY,Ambatolahy,AHY
AHZ,Alpe D Huez,AHZ
AIA,Alliance Airport,AIA
AIB,Anita Bay,AIB
AIC,Airok,AIC
AID,Municipal,AID
AIE,Aiome,AIE
AIF,Assis,AIF
AIG,Yalinga,AIG
AIH,Aiambak,AIH
AII,Alisabieh,AII
AIK,Municipal,AIK
AIL,Ailigandi,AIL
AIM,Ailuk Island,AIM
AIN,Wainwright,AIN
AIO,Municipal,AIO
AIP,Ailinglapalap Island,AIP
AIR,Aripuana,AIR
AIS,Arorae Island,AIS
AIT,Aitutaki Airport,AIT
AIU,Atiu Island,AIU
AIV,George Downer,AIV
AIW,Ai-ais,AIW
AIY,Bader Field,AIY
AIZ,Lee C Fine Memorial,AIZ
AJA,Ajaccio Napoleon Bonaparte Airport,AJA
AJF,Jouf Airport,AJF
AJI,Agri Airport,AJI
AJJ,Akjoujt,AJJ
AJK,Araak,AJK
AJL,Aizawl Airport,AJL
AJN,Ouani,AJN
AJR,Arvidsjaur Airport,AJR
AJS,Abreojos,AJS
AJU,Aracaju Airport,AJU
AJY,Agades,AJY
AKA,Ankang,AKA
AKB,Atka,AKB
AKC,Fulton International,CAK
AKD,Akola,AKD
AKE,Akieni,AKE
AKF,Kufrah,AKF
AKG,Anguganak,AKG
AKH,Prince Sultan Air Base,AKH
AKI,Akiak,AKI
AKJ,Asahikawa Airport,AKJ
AKK,Akhiok SPB,AKK
AKL,Auckland Airport,AKL
AKM,Zakouma,AKM
AKN,King Salmon Airport,AKN
AKO,Colorado Plains Regional Airport,AKO
AKP,Anaktuvuk,AKP
AKQ,Gunung Batin,AKQ
AKR,Akure,AKR
AKT,Raf Akrotiri,AKT
AKU,Aksu Airport,AKU
AKV,Akulivik,AKV
AKW,Aghajari,AKW
AKX,Aktyubinsk Airport,AKX
AKY,Civil Airport,AKY
ALA,Almaty Airport,ALA
ALB,Albany International Airport,ALB
ALC,Alicante-Elche Airport,ALC
ALD,Alerta,ALD
ALE,Alpine,ALE
ALF,Alta Airport,ALF
ALG,Houari Boumediene Airport,ALG
ALH,Albany Airport,ALH
ALI,International,ALI
ALJ,Kortdoorn,ALJ
ALK,Asela,ALK
ALL,Albenga,ALL
ALM,Municipal,ALM
ALN,Alton,ALN
ALO,Waterloo Airport,ALO
ALP,Nejrab,ALP
ALQ,Federal,ALQ
ALR,Alexandra,ALR
ALS,Alamosa Municipal Airport,ALS
ALT,Alenquer,ALT
ALU,Alula,ALU
ALW,Walla Walla Airport,ALW
ALX,Thomas C Russell Field,ALX
ALY,El Nohza,ALY
ALZ,Alitak SPB,ALZ
AMA,Rick Husband Amarillo International Airport,AMA
AMB,Ambilobe,AMB
AMC,Am Timan,AMC
AMD,Ahmedabad Airport,AMD
AME,Alto Molocue,AME
AMF,Ama,AMF
AMG,Amboin,AMG
AMH,Arba Mintch Airport,AMH
AMI,Selaparang,AMI
AMJ,Almenara,AMJ
AMK,Animas Airpark,DRO
AML,Puerto Armuellas,AML
AMM,Queen Alia International Airport,AMM
AMN,Gratiot Community,AMN
AMO,Mao,AMO
AMP,Ampanihy,AMP
AMQ,Pattimura Airport,AMQ
AMR,Arno,AMR
AMS,Amsterdam Airport Schiphol,AMS
